field_to_verify,catch_ID,session_ID,month,day,year,island,subisland,site_code,lat,long,capture_time,release_time,species,band_no,recapture,diet,BP,uncorr_mass,mass_tare,mass_corr,culmen,skull_length,tarsus,wing,tail,sex,P10,P09,P08,P07,P06,P05,P04,P03,P02,P01,R6,R5,R4,R3,R2,R1,measurers,notes
wing,20050701_PI_PI1_4,20050701_PI_PI1,7,1,2005,SMI,PI,PI1,34.056323,-120.332024,7/1/2005 22:53,NA,ASSP,1971-01604,N,N,3,65,26,39,14.65,NA,23.34,151,9,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JA,LESP?
wing,20050708_SBI_AP_2,20050708_SBI_AP,7,8,2005,SBI,SBI,AP,33.487622,-119.028535,7/9/2005 0:19,NA,ASSP,1401-59665,Y,N,3,NA,NA,NA,15.7,NA,23.5,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PM,RECAPTURE: 59665 was banded on Lighthouse Hill SEFI on 7/24/03 with a fully developed brood patch (Russ Bradley pers com 8/29/05)
wing,20050801_SBI_AP_4,20050801_SBI_AP,8,1,2005,SBI,SBI,AP,33.487622,-119.028535,8/1/2005 21:09,NA,ASSP,1971-01741,N,N,5,53,20,33,NA,NA,NA,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JA,"PUKED OIL, WORN RETS"
wing,20050529_PI_UNK_43,20050529_PI_UNK,5,29,2005,SMI,PI,PI1,34.056323,-120.332024,5/30/2005 2:07,NA,ASSP,4501-95487,N,N,2,65,25,40,NA,NA,NA,153,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JA,NA
wing,20150809_PI_PI1_7,20150809_PI_PI1,8,9,2015,SMI,PI,PI1,34.056323,-120.332024,8/10/2015 0:50,NA,ASSP,1971-02437,N,N,0,52,19,33,14.75,38.3,24.45,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
wing,20160603_PI_PI1_23,20160603_PI_PI1,6,3,2016,SMI,PI,PI1,34.056323,-120.332024,6/3/2016 23:55,NA,ASSP,1971-02607,N,N,1.5,61,19,42,15,38.7,20.45,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MC,Wing longer than ruler by approx 2mm
wing,20160603_PI_PI1_42,20160603_PI_PI1,6,3,2016,SMI,PI,PI1,34.056323,-120.332024,6/4/2016 1:21,NA,ASSP,1971-02624,N,N,2,56,21,35,NA,NA,NA,1425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MC,NA
wing,20160604_PI_PI1_1,20160604_PI_PI1,6,4,2016,SMI,PI,PI1,34.056323,-120.332024,6/4/2016 21:30,NA,ASSP,1971-02628,N,N,0,54,19,35,14.65,37.9,24,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MC,"WC longer than ruler, ~151mm. 21:26 - CAAU caught/rel"
wing,20160604_PI_PI1_17,20160604_PI_PI1,6,4,2016,SMI,PI,PI1,34.056323,-120.332024,6/4/2016 23:49,NA,ASSP,1971-02641,N,N,3,62,25,37,14.4,37.8,24.2,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JA,NA
wing,20160605_PI_PI1_11,20160605_PI_PI1,6,5,2016,SMI,PI,PI1,34.056323,-120.332024,6/5/2016 22:20,NA,ASSP,1971-02607,Y,N,1.5,59,19,40,14.35,38.8,24.45,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JA,NA
