,catch_ID,session_ID,month,day,year,island,subisland,site_code,lat,long,capture_time,release_time,species,band_no,recapture,diet,BP,uncorr_mass,mass_tare,mass_corr,culmen,skull_length,tarsus,wing,tail,sex,P10,P09,P08,P07,P06,P05,P04,P03,P02,P01,R6,R5,R4,R3,R2,R1,measurers,notes,cap_hour,rel_hour,Changed?,QAQC Notes
16,20160706_SBI_AP_3,20160706_SBI_AP,7,6,2016,SBI,SBI,AP,33.487622,-119.028535,7/6/2016 21:25,7/6/2016 22:00,ASSP,7901-17042,N,N,1,35,0,35,14.5,41.3,25.3,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JAH, AJD",NA,21,22,N,"Checked raw data, not a typo."
23,20160602_SR_SR1_12,20160602_SR_SR1,6,2,2016,SCI,SR,SR1,34.047666,-119.547674,6/3/2016 0:23,6/3/2016 0:30,ASSP,1971-02820,Y,N,3,37,0,37,14.6,34.7,25.1,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CAC, DMM, PTL",NA,0,0,N,"Checked raw data, not a typo."
24,20160603_SR_SR1_1,20160603_SR_SR1,6,3,2016,SCI,SR,SR1,34.047666,-119.547674,6/3/2016 21:23,6/3/2016 21:28,ASSP,7901-17116,N,N,0,32,0,32,14.6,27.7,20.6,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CAC, DMM",NA,21,21,N,"Checked raw data, not a typo."
25,20160707_SR_SR1_8,20160707_SR_SR1,7,7,2016,SCI,SR,SR1,34.047666,-119.547674,7/7/2016 23:11,7/7/2016 23:28,ASSP,7901-17153,N,N,0,36,0,36,14.6,26,23,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CAC, PTL, DMM",NA,23,23,N,"Checked raw data, not a typo."
17,20170619_SR_SR1_27,20170619_SR_SR1,6,19,2017,SCI,SR,SR1,34.047666,-119.547674,6/20/2017 2:01,6/20/2017 2:05,ASSP,1401-56327,N,N,3,37,0,37,13.8,34.4,23.3,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AJD, CAC, AAY",NA,2,2,N,"Checked raw data, not a typo."
14,20180514_PI_PI1_28,20180514_PI_PI1,5,14,2018,SMI,PI,PI1,34.056323,-120.332024,5/15/2018 0:59,NA,ASSP,1971-02931,N,N,3,66,26,40,15.3,32.9,24.4,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EK, PTL",NA,0,NA,N,"Checked raw data, not a typo."
15,20180514_PI_PI1_30,20180514_PI_PI1,5,14,2018,SMI,PI,PI1,34.056323,-120.332024,5/15/2018 1:13,NA,ASSP,1971-02932,N,N,1,64,26,38,15.1,34.5,23.3,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EK, PTL",NA,1,NA,N,"Checked raw data, not a typo."
18,20180611_SR_SR1_2,20180611_SR_SR1,6,11,2018,SCI,SR,SR1,34.047666,-119.547674,6/11/2018 21:57,6/11/2018 22:06,ASSP,7901-17269,N,N,0,30,0,30,13.1,34.7,22.8,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JOV, PTL, AJD",NA,21,22,N,"Checked raw data, not a typo."
19,20180612_SR_SR1_9,20180612_SR_SR1,6,12,2018,SCI,SR,SR1,34.047666,-119.547674,6/12/2018 23:02,6/12/2018 23:10,ASSP,1401-56348,N,N,0,36,0,36,14.7,32.8,22.4,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JOV, AJD",NA,23,23,N,"Checked raw data, not a typo."
20,20180612_SR_SR1_11,20180612_SR_SR1,6,12,2018,SCI,SR,SR1,34.047666,-119.547674,6/12/2018 23:10,6/12/2018 23:26,ASSP,1971-02856,Y,N,0,35,0,35,14.4,33.4,22,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JOV, AJD",NA,23,23,N,"Checked raw data, not a typo."
