sessionID,App_sunset,std_ending,net_open_1,net_close_1,min,min_std,ASSP,ASSPstd,CPUEraw,CPUEstd,Notes
20040717_SBI_AP,7/17/2004 20:06,7/18/2004 1:24,7/17/2004 21:31,7/17/2004 23:59,264,192.8333333,42,31,0.159090909,0.160760588,Need to verify w raw data
20040718_SBI_ESP,7/18/2004 20:06,7/19/2004 1:24,7/18/2004 21:45,7/18/2004 23:49,235,178.3833333,47,32,0.2,0.179388956,Need to verify w raw data
20060602_SR_SR1,6/2/2006 20:06,6/3/2006 1:24,6/2/2006 22:30,6/3/2006 3:00,270,174.35,54,45,0.2,0.25810152,Need to verify w raw data
20060726_SR_SR1,7/26/2006 20:05,7/27/2006 1:23,7/26/2006 21:00,7/27/2006 2:03,303,263.1833333,46,42,0.151815182,0.159584574,Need to verify w raw data
20070618_PI_PI1,6/18/2007 20:16,6/19/2007 1:34,6/18/2007 21:30,6/19/2007 1:30,240,240,39,39,0.1625,0.1625,Need to verify w raw data
20140704_SBI_ESP,7/4/2014 20:10,7/5/2014 1:28,7/4/2014 21:00,7/5/2014 1:00,240,240,38,38,0.158333333,0.158333333,Capture rate is correct.
20160603_PI_PI1,6/3/2016 20:10,6/4/2016 1:28,6/3/2016 20:51,6/4/2016 2:00,309,277.3166667,45,42,0.145631068,0.151451409,Need to verify w raw data
20180611_SBI_ESP,6/11/2018 20:07,6/12/2018 1:25,6/11/2018 21:03,6/12/2018 1:30,297,262.3333333,41,40,0.138047138,0.152477764,Capture rate is correct
