,catch_ID,session_ID,month,day,year,island,subisland,site_code,lat,long,capture_time,release_time,species,band_no,recapture,diet,BP,uncorr_mass,mass_tare,mass_corr,culmen,skull_length,tarsus,wing,tail,sex,P10,P09,P08,P07,P06,P05,P04,P03,P02,P01,R6,R5,R4,R3,R2,R1,measurers,notes,cap_hour,rel_hour,Changed?,QAQC Notes
15,20150809_PI_PI1_7,20150809_PI_PI1,8,9,2015,SMI,PI,PI1,34.056323,-120.332024,8/10/2015 0:50,NA,ASSP,1971-02437,N,N,0,52,19,33,14.75,38.3,24.45,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,?,Need to check raw data
16,20150908_PI_PI1_6,20150908_PI_PI1,9,8,2015,SMI,PI,PI1,34.056323,-120.332024,9/9/2015 1:33,NA,ASSP,1971-02469,N,N,4,59,25,34,14.85,39.05,22.1,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,N,"Checked raw data,  not a typo."
18,20150808_SBI_AP_15,20150808_SBI_AP,8,8,2015,SBI,SBI,AP,33.487622,-119.028535,8/9/2015 1:46,8/9/2015 1:53,ASSP,1971-02713,N,N,4,38,0,38,16.2,40.5,23.8,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JAH, MGB",NA,1,1,N,"Checked raw data,  not a typo."
17,20160502_PI_PI1_22,20160502_PI_PI1,5,2,2016,SMI,PI,PI1,34.056323,-120.332024,5/2/2016 23:01,NA,ASSP,1971-02490,N,N,2,58,19,39,14.4,37.8,23.7,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,N,"Checked raw data,  not a typo."
19,20160504_PI_PI1_18,20160504_PI_PI1,5,4,2016,SMI,PI,PI1,34.056323,-120.332024,5/5/2016 0:01,NA,ASSP,1971-02569,N,N,2,62,22,40,15,38.8,24.7,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,N,"Checked raw data,  not a typo."
20,20160504_PI_PI1_19,20160504_PI_PI1,5,4,2016,SMI,PI,PI1,34.056323,-120.332024,5/5/2016 0:09,NA,ASSP,1971-02570,N,N,2,57,22,35,15.7,38.3,23.3,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,N,"Checked raw data,  not a typo."
21,20160603_PI_PI1_23,20160603_PI_PI1,6,3,2016,SMI,PI,PI1,34.056323,-120.332024,6/3/2016 23:55,NA,ASSP,1971-02607,N,N,1.5,61,19,42,15,38.7,20.45,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MC,Wing longer than ruler by approx 2mm,23,NA,?,Need to check raw data
22,20160603_PI_PI1_42,20160603_PI_PI1,6,3,2016,SMI,PI,PI1,34.056323,-120.332024,6/4/2016 1:21,NA,ASSP,1971-02624,N,N,2,56,21,35,NA,NA,NA,1425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MC,NA,1,NA,?,"Need to check raw data, clearly a typo"
23,20160604_PI_PI1_1,20160604_PI_PI1,6,4,2016,SMI,PI,PI1,34.056323,-120.332024,6/4/2016 21:30,NA,ASSP,1971-02628,N,N,0,54,19,35,14.65,37.9,24,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MC,"WC longer than ruler, ~151mm. 21:26 - CAAU caught/rel",21,NA,?,Need to check raw data
24,20160604_PI_PI1_17,20160604_PI_PI1,6,4,2016,SMI,PI,PI1,34.056323,-120.332024,6/4/2016 23:49,NA,ASSP,1971-02641,N,N,3,62,25,37,14.4,37.8,24.2,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JA,NA,23,NA,?,Need to check raw data
25,20160605_PI_PI1_11,20160605_PI_PI1,6,5,2016,SMI,PI,PI1,34.056323,-120.332024,6/5/2016 22:20,NA,ASSP,1971-02607,Y,N,1.5,59,19,40,14.35,38.8,24.45,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JA,NA,22,NA,?,Need to check raw data
27,20170620_SR_SR1_4,20170620_SR_SR1,6,20,2017,SCI,SR,SR1,34.047666,-119.547674,6/20/2017 23:02,6/20/2017 23:10,ASSP,1401-56330,N,N,3,41,0,41,15,38.3,24.8,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AJD, CAC, AAY",NA,23,23,N,"Checked raw data,  not a typo."
26,20180514_PI_PI1_32,20180514_PI_PI1,5,14,2018,SMI,PI,PI1,34.056323,-120.332024,5/15/2018 1:42,NA,ASSP,1971-02935,N,N,3,66,26,40,14.9,35.8,22.5,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EK, PTL",NA,1,NA,N,"Checked raw data,  not a typo."
28,20180611_SR_SR1_9,20180611_SR_SR1,6,11,2018,SCI,SR,SR1,34.047666,-119.547674,6/11/2018 22:26,6/11/2018 22:36,ASSP,7901-17276,N,N,0,38,0,38,14.3,35.7,24,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JOV, PTL, AJD",NA,22,22,N,"Checked raw data,  not a typo."
29,20180612_SR_SR1_21,20180612_SR_SR1,6,12,2018,SCI,SR,SR1,34.047666,-119.547674,6/13/2018 0:22,6/13/2018 0:33,ASSP,2461-05628,N,N,2,37,0,37,15.4,36.8,23.6,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JOV, AJD",NA,0,0,N,"Checked raw data,  not a typo."
30,20180612_PI_PI1_35,20180612_PI_PI1,6,12,2018,SMI,PI,PI1,34.056323,-120.332024,6/13/2018 1:25,NA,ASSP,1971-03006,N,N,2,56,22,34,14.1,36.5,22.1,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EK, JA",NA,1,NA,N,"Checked raw data,  not a typo."
32,20180813_SBI_AP_11,20180813_SBI_AP,8,13,2018,SBI,SBI,AP,33.487622,-119.028535,8/14/2018 2:03,8/14/2018 2:10,ASSP,2461-03889,N,N,0,37,0,37,14,38.7,23.3,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JAH, JOV",NA,2,2,N,"Checked raw data,  not a typo."
