"","catch_ID","session_ID","month","day","year","island_code","subisland_code","site_code","lat","long","capture_time","capture_hour","capture_min","release_time","species","band_no","recapture","diet","BP","uncorr_mass","mass_tare","mass_corr","culmen","skull_length","tarsus","wing","tail","sex","measurers","flagged","notes"
"70","20060601_SCI_SR1_09","20060601_SCI_SR1",6,1,2006,"SCI","SR","SR1","34.047666","-119.547674","6/1/2005 21:51",21,51,"ND","ASSP","4501-95527","N","N","3","63","26","37","ND","ND","ND","147","ND","N","JA","N",NA
"71","20060601_SCI_SR1_10","20060601_SCI_SR1",6,1,2006,"SCI","SR","SR1","34.047666","-119.547674","6/1/2005 21:56",21,56,"ND","ASSP","4501-95528","N","N","1","61","27","34","ND","ND","ND","138","ND","N","JA","N",NA
"72","20060601_SCI_SR1_11","20060601_SCI_SR1",6,1,2006,"SCI","SR","SR1","34.047666","-119.547674","6/1/2005 22:04",22,4,"ND","ASSP","4501-95529","N","N","1","62","25","37","ND","ND","ND","142","ND","N","JA","N",NA
"73","20060601_SCI_SR1_12","20060601_SCI_SR1",6,1,2006,"SCI","SR","SR1","34.047666","-119.547674","6/1/2005 22:11",22,11,"ND","ASSP","4501-95530","N","N","1","64","27","37","ND","ND","ND","150","ND","N","JA","N",NA
"74","20060601_SCI_SR1_13","20060601_SCI_SR1",6,1,2006,"SCI","SR","SR1","34.047666","-119.547674","6/1/2005 22:13",22,13,"ND","ASSP","4501-95531","N","N","0","61","25","36","ND","ND","ND","146","ND","M","JA","N",NA
"75","20060601_SCI_SR1_14","20060601_SCI_SR1",6,1,2006,"SCI","SR","SR1","34.047666","-119.547674","6/1/2005 22:17",22,17,"ND","ASSP","4501-95532","N","N","3","59","25","34","ND","ND","ND","141","ND","N","JA","N","PUKED IN NET"
"76","20060601_SCI_SR1_15","20060601_SCI_SR1",6,1,2006,"SCI","SR","SR1","34.047666","-119.547674","6/1/2005 22:24",22,24,"ND","ASSP","4501-95533","N","Y","3","62","27","35","ND","ND","ND","143","ND","F","JA","N",NA
"77","20060601_SCI_SR1_16","20060601_SCI_SR1",6,1,2006,"SCI","SR","SR1","34.047666","-119.547674","6/1/2005 22:39",22,39,"ND","ASSP","4501-95534","N","N","1","59","27","32","ND","ND","ND","141","ND","N","JA","N",NA
"78","20060601_SCI_SR1_17","20060601_SCI_SR1",6,1,2006,"SCI","SR","SR1","34.047666","-119.547674","6/1/2005 22:39",22,39,"ND","ASSP","4501-95535","N","N","3","68","27","41","ND","ND","ND","143","ND","N","JA","N",NA
"79","20060601_SCI_SR1_18","20060601_SCI_SR1",6,1,2006,"SCI","SR","SR1","34.047666","-119.547674","6/1/2005 22:46",22,46,"ND","ASSP","4501-95536","N","N","0","63","27","36","ND","ND","ND","144","ND","M","JA","N",NA
"80","20060601_SCI_SR1_19","20060601_SCI_SR1",6,1,2006,"SCI","SR","SR1","34.047666","-119.547674","6/1/2005 22:52",22,52,"ND","ASSP","4501-95537","N","N","0","61","25","36","ND","ND","ND","141","ND","N","JA","N",NA
"81","20060601_SCI_SR1_20","20060601_SCI_SR1",6,1,2006,"SCI","SR","SR1","34.047666","-119.547674","6/1/2005 22:49",22,49,"ND","ASSP","4501-95538","N","N","1","62","27","35","ND","ND","ND","140","ND","N","JA","N",NA
"82","20060601_SCI_SR1_21","20060601_SCI_SR1",6,1,2006,"SCI","SR","SR1","34.047666","-119.547674","6/1/2005 23:02",23,2,"ND","ASSP","4501-95539","N","N","0","67","27","40","ND","ND","ND","143","ND","N","JA","N",NA
"83","20060601_SCI_SR1_22","20060601_SCI_SR1",6,1,2006,"SCI","SR","SR1","34.047666","-119.547674","6/1/2005 23:04",23,4,"ND","ASSP","4501-95540","N","N","0","63","27","36","ND","ND","ND","141","ND","N","JA","N",NA
"84","20060601_SCI_SR1_23","20060601_SCI_SR1",6,1,2006,"SCI","SR","SR1","34.047666","-119.547674","6/1/2005 23:13",23,13,"ND","ASSP","4501-95541","N","Y","0","62","26","36","ND","ND","ND","138","ND","N","JA","N",NA
"85","20060601_SCI_SR1_24","20060601_SCI_SR1",6,1,2006,"SCI","SR","SR1","34.047666","-119.547674","6/1/2005 23:20",23,20,"ND","ASSP","4501-95542","N","N","0","63","26","37","ND","ND","ND","142","ND","F","JA","N",NA
"86","20060601_SCI_SR1_25","20060601_SCI_SR1",6,1,2006,"SCI","SR","SR1","34.047666","-119.547674","6/1/2005 23:25",23,25,"ND","ASSP","4501-95543","N","N","3","62","26","36","ND","ND","ND","145","ND","F","JA","N",NA
"87","20060601_SCI_SR1_26","20060601_SCI_SR1",6,1,2006,"SCI","SR","SR1","34.047666","-119.547674","6/1/2005 23:27",23,27,"ND","ASSP","4501-95544","N","Y","0","66","27","39","ND","ND","ND","144","ND","N","JA","N",NA
"88","20060601_SCI_SR1_27","20060601_SCI_SR1",6,1,2006,"SCI","SR","SR1","34.047666","-119.547674","6/1/2005 23:38",23,38,"ND","ASSP","4501-95545","N","Y","1","59","26","33","ND","ND","ND","142","ND","N","JA","N",NA
"89","20060601_SCI_SR1_28","20060601_SCI_SR1",6,1,2006,"SCI","SR","SR1","34.047666","-119.547674","6/1/2005 23:42",23,42,"ND","ASSP","4501-95546","N","N","0","62","26","36","ND","ND","ND","145","ND","N","JA","N",NA
"90","20060601_SCI_SR1_29","20060601_SCI_SR1",6,1,2006,"SCI","SR","SR1","34.047666","-119.547674","6/1/2005 23:42",23,42,"ND","ASSP","4501-95547","N","N","1","61","26","35","ND","ND","ND","140","ND","N","JA","N",NA
"91","20060601_SCI_SR1_30","20060601_SCI_SR1",6,1,2006,"SCI","SR","SR1","34.047666","-119.547674","6/1/2005 23:48",23,48,"ND","ASSP","4501-95548","N","N","0","62","26","36","ND","ND","ND","145","ND","N","JA","N",NA
