"session_ID","island_code","site_code","lat","long","month","day","start","end","tot_precip","wind_u","wind_v","wave_height","wave_dir","wave_period","tot_cloud","low_cloud","pressure","surface_pressure","sst","temp_c","dew_point","Moonup","MoonAltitude","Illu"
"19940616_SBI_AP","SBI","AP",33.487622,-119.028535,6,16,1994-06-17 01:36:00,1994-06-17 02:40:00,0,4.34707242604707,-1.99223751733867,1.41089497985916,280.332893464318,7.312413031332,0.00806718243734709,0.00806718243734709,1014.28954994685,1016.30314228137,18.0588719338862,289.459864511397,13.0063623302193,0.561559129502877,-11.162969607553,0.561559129502877
"19940712_SBI_ESP","SBI","ESP",33.482528,-119.041599,7,12,1994-07-12 23:35:00,1994-07-13 02:35:00,3.88620865058795e-07,4.01237395676293,-1.54904119998502,0.977052733447748,248.93782655305,8.25960341407474,0.481842735720935,0.481842735720935,1012.82446307013,1014.83828961172,18.3419407224939,290.020476816666,14.4161188146769,0.212083140095563,-28.3203478299262,0.212083140095563
"20040623_SCI_SR1","SCI","SR1",34.047666,-119.547674,6,23,2004-06-23 21:30:00,2004-06-24 03:10:00,0,2.95078721045793,0.689261006942962,0.921375141803481,269.238163215664,6.89557140517966,0.22602162269391,0.100201425236141,1015.54356926925,1016.53609896445,17.5147264536172,289.508115983491,14.0475848222982,0.346662830012936,0.210060395108005,0.346662830012936
"20040815_SBI_AP","SBI","AP",33.487622,-119.028535,8,15,2004-08-15 21:36:00,2004-08-16 01:34:00,0,1.82169696460404,-0.782917222347092,1.03283666213326,276.804887237967,6.73802779319035,0.0657785644891378,0.0657785644891378,1013.34409959009,1015.34038752422,20.4213850547108,292.395817210781,16.5372893864735,0.000540735542718144,-29.4622652452438,0.000540735542718144
"20040816_SBI_ESP","SBI","ESP",33.482528,-119.041599,8,16,2004-08-16 21:00:00,2004-08-17 02:37:00,0,1.43688521157996,0.659102780649854,0.93356427860288,253.981737236011,8.82579014787708,0.702082484070185,0.00565037026056664,1014.34354769053,1016.34000412006,20.2906597484908,292.611284125711,17.0436639162022,0.0158474065933812,-31.0569223532799,0.0158474065933812
"20040818_SCI_SR1","SCI","SR1",34.047666,-119.547674,8,18,2004-08-18 20:51:00,2004-08-19 02:31:00,7.73997232096272e-07,0.606200731513887,2.33120441586659,0.798881047247541,245.171070764512,9.27272980823246,0.0400485251705248,0.0400485251705248,1012.97557298661,1013.97253210453,19.313629474661,290.49017609715,15.4739753180974,0.106352590293509,-22.4846795361609,0.106352590293509
"20050531_SCI_SR1","SCI","SR1",34.047666,-119.547674,5,31,2005-05-31 21:30:00,2005-06-01 02:00:00,3.95044374485607e-07,2.76301405524541,1.42240930862011,1.04903060874719,279.275469995897,7.49297764862702,0.473405256384824,0.473405256384824,1011.56719026101,1012.57299870231,16.172515211752,288.198511950603,13.4331999619596,0.309283126079675,-34.5134724940372,0.309283126079675
"20050701_SMI_PI1","SMI","PI1",34.056323,-120.332024,7,1,2005-07-01 22:23:00,2005-07-02 00:28:00,5.41775142151661e-06,5.19351796705287,-3.59972425435814,1.13039173506517,294.635714963666,7.18035412910153,0.999889368714999,0.999889368714999,1012.66186983562,1012.08893429169,14.0143454062803,286.478396276137,12.8312083355171,0.164325605440717,-27.1722742997437,0.164325605440717
"20050708_SBI_ESP","SBI","ESP",33.482528,-119.041599,7,8,2005-07-08 21:45:00,2005-07-09 03:00:00,0,4.35568238359126,-2.06045889368531,1.33821608164569,253.714991967892,7.96668882936118,0.0560895165140355,0.0560895165140355,1013.04848028719,1015.06502630354,17.914399120223,289.82836776593,14.8260908443641,0.0693022878972791,-16.4874248930033,0.0693022878972791
"20050708_SCI_SR1","SCI","SR1",34.047666,-119.547674,7,8,2005-07-08 21:35:00,2005-07-09 03:56:00,1.12869821281545e-07,4.34752653911659,-0.25030393310722,1.13823103264447,266.769225980617,7.05246649318493,0.0323501136831825,0.0323501136831825,1012.58953336487,1013.57760382412,16.7111124613009,289.152299443094,14.3293847266288,0.0703285154885998,-18.392241599793,0.0703285154885998
