"band_no","recapture","session_year","session_date","island_code","site_code"
"1971-01973","N",2005,2005-07-08,"SBI","ESP"
"1971-01973","Y",2016,2016-07-12,"SBI","ESP"
"1971-02009","Y",2006,2006-06-02,"SCI","SR"
"1971-02026","Y",2006,2006-06-03,"SCI","SR"
"1971-02045","N",2006,2006-06-28,"SCI","SR"
"1971-02045","Y",2006,2006-07-27,"SCI","SR"
"1971-02086","N",2006,2006-07-26,"SCI","SR"
"1971-02086","Y",2014,2014-07-20,"SBI","AP"
"1971-02184","Y",2016,2016-06-05,"SMI","PI"
"1971-02209","Y",2015,2015-06-17,"SMI","PI"
"1971-02327","N",2015,2015-06-17,"SMI","PI"
"1971-02327","Y",2016,2016-05-03,"SMI","PI"
"1971-02327","Y",2016,2016-05-04,"SMI","PI"
"1971-02327","Y",2016,2016-05-02,"SMI","PI"
"1971-02328","N",2015,2015-06-17,"SMI","PI"
"1971-02328","Y",2015,2015-07-13,"SMI","PI"
"1971-02336","N",2015,2015-06-17,"SMI","PI"
"1971-02336","Y",2015,2015-06-18,"SMI","PI"
"1971-02344","N",2015,2015-06-17,"SMI","PI"
"1971-02344","Y",2015,2015-07-13,"SMI","PI"
"1971-02348","N",2015,2015-06-18,"SMI","PI"
"1971-02348","Y",2016,2016-06-03,"SMI","PI"
"1971-02349","N",2015,2015-06-18,"SMI","PI"
"1971-02349","Y",2016,2016-08-04,"SMI","PI"
"1971-02367","N",2015,2015-06-19,"SMI","PI"
"1971-02367","Y",2016,2016-05-02,"SMI","PI"
"1971-02369","N",2015,2015-06-18,"SMI","PI"
"1971-02369","Y",2015,2015-07-13,"SMI","PI"
"1971-02385","N",2015,2015-07-12,"SMI","PI"
"1971-02385","Y",2016,2016-05-02,"SMI","PI"
"1971-02385","Y",2016,2016-08-05,"SMI","PI"
"1971-02392","N",2015,2015-07-12,"SMI","PI"
"1971-02392","Y",2016,2016-05-02,"SMI","PI"
"1971-02412","N",2015,2015-07-13,"SMI","PI"
