catch_ID,session_ID,month,day,year,island_code,subisland_code,site_code,lat,long,capture_time,release_time,species,band_no,recapture,band_replaced,diet,BP,uncorr_mass,mass_tare,mass_corr,culmen,skull_length,tarsus,wing,tail,sex,measurers,flagged,notes
19950803_SBI_WP_01,19950803_SBI_WP,8,3,1995,SBI,SBI,WP,33.481075,-119.046301,8/3/1995 23:22,ND,ASSP,111-112804,N,N,N,2,ND,ND,ND,ND,ND,ND,130,ND,ND,ND,N,NA
19990611_SBI_WCliffs_20,19990611_SBI_WCliffs,6,11,1999,SBI,SBI,WCliffs,33.477633,-119.042881,6/12/1999 1:42,ND,ASSP,1401-56180,N,N,N,B,ND,ND,ND,ND,ND,ND,130,ND,ND,SW,N,worn primaries and retrices
20050709_SBI_AP_07,20050709_SBI_AP,7,9,2005,SBI,SBI,AP,33.487622,-119.028535,7/10/2005 1:15,ND,ASSP,1971-01926,N,N,N,0,46,11,35,13.6,ND,22.8,130,ND,ND,PM,N,NA
20050731_SBI_AP_24,20050731_SBI_AP,7,31,2005,SBI,SBI,AP,33.487622,-119.028535,8/1/2005 1:50,ND,ASSP,1971-01740,N,N,N,4.5,58,19,39,ND,ND,ND,130,ND,ND,JA,N,WORN PRIMARY/RETS BELLY FULL
20050809_SCI_SR1_15,20050809_SCI_SR1,8,9,2005,SCI,SR,SR1,34.047666,-119.547674,8/10/2005 1:08,ND,ASSP,1971-01858,N,N,N,5,52,20,32,ND,ND,ND,130,ND,ND,JA,N,NA
20150713_SMI_PI1_20,20150713_SMI_PI1,7,13,2015,SMI,PI,PI1,34.056323,-120.332024,7/13/2015 23:06,ND,ASSP,1971-02413,N,N,N,2,57,21,36,15,37,24.9,130,ND,ND,ND,N,NA
20090514_SBI_ESP_01,20090514_SBI_ESP,5,14,2009,SBI,SBI,ESP,33.482528,-119.041599,5/14/2009 21:58,ND,ASSP,4501-41206,N,N,N,0,60,27,33,13.9,ND,22.6,130,ND,ND,"HRC, CEH",N,NA
20150722_SBI_ESP_12,20150722_SBI_ESP,7,22,2015,SBI,SBI,ESP,33.482528,-119.041599,7/23/2015 0:32,7/23/2015 0:40,ASSP,4501-37878,N,N,N,3,33,0,33,15.4,38.7,23.4,130,ND,ND,"JAH, MGB",N,NA
20170620_SCI_SR1_01,20170620_SCI_SR1,6,20,2017,SCI,SR,SR1,34.047666,-119.547674,6/20/2017 22:09,6/20/2017 21:12,CAAU,1643-10213,Y,N,N,ND,152,0,152,ND,ND,ND,130,ND,ND,"AJD, CAC, AAY",N,NA
20180611_SCI_SR1_02,20180611_SCI_SR1,6,11,2018,SCI,SR,SR1,34.047666,-119.547674,6/11/2018 21:57,6/11/2018 22:06,ASSP,7901-17269,N,N,N,0,30,0,30,13.1,34.7,22.8,130,ND,ND,"JOV, PTL, AJD",N,NA
20160706_SCI_SR1_09,20160706_SCI_SR1,7,6,2016,SCI,SR,SR1,34.047666,-119.547674,7/6/2016 23:06,7/6/2016 23:21,ASSP,7901-17136,N,N,N,0,34,0,34,14.4,35.6,23.2,130,ND,ND,"CAC, PTL",N,NA
20180813_SBI_AP_09,20180813_SBI_AP,8,13,2018,SBI,SBI,AP,33.487622,-119.028535,8/14/2018 1:34,8/14/2018 1:41,ASSP,2461-03887,N,N,N,5,35,0,35,14.8,37,24.5,130,ND,ND,"JAH, JOV",N,NA
20180814_SBI_AP_01,20180814_SBI_AP,8,14,2018,SBI,SBI,AP,33.487622,-119.028535,8/14/2018 21:26,8/14/2018 21:30,ASSP,2461-03892,N,N,N,0,32,0,32,14.1,37.1,23.3,130,ND,ND,"JAH, JOV",N,NA
20180815_SBI_ESP_11,20180815_SBI_ESP,8,15,2018,SBI,SBI,ESP,33.482528,-119.041599,8/16/2018 0:29,8/16/2018 0:44,ASSP,2461-03772,N,N,N,3,31,0,31,14.2,37.4,23,130,ND,ND,"JAH, JOV",N,NA
19940514_ANI_RR_01,19940514_ANI_RR,5,14,1994,ANI,WAI,RR,34.013764,-119.442644,5/14/1994 20:59,ND,ASSP,1401-60783,N,N,N,0,35,0,35,14.3,ND,22.9,131,ND,ND,"HRC, MOP",N,NA
19950622_SBI_ESP_01,19950622_SBI_ESP,6,22,1995,SBI,SBI,ESP,33.482528,-119.041599,6/22/1995 22:52,ND,ASSP,111-112750,N,N,N,0,ND,ND,ND,ND,ND,ND,131,ND,ND,ND,N,NA
19950622_SBI_ESP_17,19950622_SBI_ESP,6,22,1995,SBI,SBI,ESP,33.482528,-119.041599,6/23/1995 0:19,ND,ASSP,111-112766,N,N,N,1,ND,ND,ND,ND,ND,ND,131,ND,ND,ND,N,NA
19950622_SBI_ESP_19,19950622_SBI_ESP,6,22,1995,SBI,SBI,ESP,33.482528,-119.041599,6/23/1995 0:33,ND,ASSP,111-112768,N,N,N,0,ND,ND,ND,ND,ND,ND,131,ND,ND,ND,N,NA
19950622_SBI_ESP_21,19950622_SBI_ESP,6,22,1995,SBI,SBI,ESP,33.482528,-119.041599,6/23/1995 0:56,ND,ASSP,111-112770,N,N,N,2,ND,ND,ND,ND,ND,ND,131,ND,ND,ND,N,NA
19950624_SBI_ESP_20,19950624_SBI_ESP,6,24,1995,SBI,SBI,ESP,33.482528,-119.041599,6/25/1995 1:45,ND,ASSP,111-112790,N,N,N,3,ND,ND,ND,ND,ND,ND,131,ND,ND,ND,N,NA
19950804_SBI_ESP_05,19950804_SBI_ESP,8,4,1995,SBI,SBI,ESP,33.482528,-119.041599,8/5/1995 0:23,ND,ASSP,111-112825,N,N,N,2,ND,ND,ND,ND,ND,ND,131,ND,ND,ND,N,NA
19960717_SBI_NCliffs_12,19960717_SBI_NCliffs,7,17,1996,SBI,SBI,NCliffs,33.488461,-119.030192,7/18/1996 0:29,ND,ASSP,1401-57449,N,N,N,B,ND,ND,ND,ND,ND,ND,131,ND,ND,JR,N,NA
19960720_SBI_WCliffs_30,19960720_SBI_WCliffs,7,20,1996,SBI,SBI,WCliffs,33.477633,-119.042881,7/21/1996 1:41,ND,ASSP,1401-57493,N,N,N,D,ND,ND,ND,ND,ND,ND,131,ND,ND,"JR, SW",N,NA
19990521_SBI_ESP_21,19990521_SBI_ESP,5,21,1999,SBI,SBI,ESP,33.482528,-119.041599,5/22/1999 1:30,ND,ASSP,1401-55772,N,N,N,B,ND,ND,ND,ND,ND,ND,131,ND,ND,SW,N,NA
19990610_SBI_AP_18,19990610_SBI_AP,6,10,1999,SBI,SBI,AP,33.487622,-119.028535,6/11/1999 1:12,ND,ASSP,1401-55793,N,N,N,B,ND,ND,ND,ND,ND,ND,131,ND,ND,SW,N,NA
19990714_SBI_AP_27,19990714_SBI_AP,7,14,1999,SBI,SBI,AP,33.487622,-119.028535,7/15/1999 1:19,ND,ASSP,1401-56259,N,N,N,B,ND,ND,ND,ND,ND,ND,131,ND,ND,SW,N,NA
20090514_SBI_ESP_17,20090514_SBI_ESP,5,14,2009,SBI,SBI,ESP,33.482528,-119.041599,5/15/2009 0:54,ND,ASSP,4501-41222,N,N,N,0,61,27,34,13.25,ND,23.9,131,ND,ND,"HRC, CEH",N,NA
20140707_SBI_SRO_08,20140707_SBI_SRO,7,7,2014,SBI,SBI,SRO,33.484214,-119.034674,7/8/2014 0:50,7/8/2014 0:53,ASSP,notbanded,N,N,N,3,35,0,35,14.1,ND,22.7,131,ND,ND,"JAH, MGB",Y,No bands
20150612_SBI_AP_03,20150612_SBI_AP,6,12,2015,SBI,SBI,AP,33.487622,-119.028535,6/12/2015 22:04,6/12/2015 22:14,ASSP,4501-41737,N,N,N,0,33,0,33,13,34.8,26.3,131,ND,ND,"AAY, DMM, GRK",N,NA
20150722_SBI_ESP_13,20150722_SBI_ESP,7,22,2015,SBI,SBI,ESP,33.482528,-119.041599,7/23/2015 0:45,7/23/2015 0:52,ASSP,4501-37879,N,N,N,1,31,0,31,13.3,37.4,24.1,131,ND,ND,"JAH, MGB",N,NA
20160706_SBI_AP_16,20160706_SBI_AP,7,6,2016,SBI,SBI,AP,33.487622,-119.028535,7/6/2016 22:42,7/6/2016 23:23,ASSP,7901-17055,N,N,N,3,30,0,30,15.1,37.5,26.1,131,ND,ND,"JAH, AJD",N,NA
20180611_SCI_SR1_20,20180611_SCI_SR1,6,11,2018,SCI,SR,SR1,34.047666,-119.547674,6/11/2018 23:50,6/11/2018 23:58,ASSP,7901-17288,N,N,N,2,37,0,37,14.9,36.1,24.8,131,ND,ND,"JOV, PTL, AJD",N,NA
20180612_SCI_SR1_10,20180612_SCI_SR1,6,12,2018,SCI,SR,SR1,34.047666,-119.547674,6/12/2018 23:10,6/12/2018 23:19,ASSP,1401-56349,N,N,N,0,34,0,34,15.7,37.4,22.7,131,ND,ND,"JOV, AJD",N,NA
20170526_SBI_ESP_02,20170526_SBI_ESP,5,26,2017,SBI,SBI,ESP,33.482528,-119.041599,5/26/2017 21:16,5/26/2017 21:21,ASSP,4501-41853,N,N,N,0,36,0,36,13.1,35.8,20.4,131,ND,ND,"JAH, CAC",N,NA
20180610_SBI_AP_34,20180610_SBI_AP,6,10,2018,SBI,SBI,AP,33.487622,-119.028535,6/11/2018 2:25,6/11/2018 2:30,ASSP,2461-05771,N,N,N,0,35,0,35,14.3,37.5,22.3,131,ND,ND,"JAH, CMB",N,NA
20180809_SMI_PI1_26,20180809_SMI_PI1,8,9,2018,SMI,PI,PI1,34.056323,-120.332024,8/9/2018 22:57,8/9/2018 23:05,ASSP,1971-03111,N,N,N,0,34,0,34,13.6,37.3,24.1,131,ND,ND,"AJD, JAH",N,100g pesola tared to bag weight
20180611_SBI_ESP_30,20180611_SBI_ESP,6,11,2018,SBI,SBI,ESP,33.482528,-119.041599,6/12/2018 0:32,6/12/2018 0:37,ASSP,2461-03803,N,N,N,0,36,0,36,14.3,37.5,23.8,131,ND,ND,"JAH, CMB",N,NA
20180706_SBI_ESP_07,20180706_SBI_ESP,7,6,2018,SBI,SBI,ESP,33.482528,-119.041599,7/6/2018 22:11,7/6/2018 22:24,ASSP,2461-03820,N,N,N,1,36,0,36,14.2,37,23.6,131,ND,ND,"JOV, JAH",N,NA
20180813_SBI_AP_02,20180813_SBI_AP,8,13,2018,SBI,SBI,AP,33.487622,-119.028535,8/13/2018 22:58,8/13/2018 23:04,ASSP,2461-03883,N,N,N,5,32,0,32,15.6,37.5,23.8,131,ND,ND,"JAH, JOV",N,NA
19940712_SBI_ESP_07,19940712_SBI_ESP,7,12,1994,SBI,SBI,ESP,33.482528,-119.041599,7/13/1994 0:17,ND,ASSP,1401-55716,N,N,N,0,ND,ND,ND,ND,ND,ND,132,ND,ND,"JF, PM",N,ND
19940712_SBI_ESP_26,19940712_SBI_ESP,7,12,1994,SBI,SBI,ESP,33.482528,-119.041599,7/13/1994 2:30,ND,ASSP,1401-55735,N,N,N,0,ND,ND,ND,ND,ND,ND,132,ND,ND,"JF, PM",N,NA
19950603_SBI_ESP_05,19950603_SBI_ESP,6,3,1995,SBI,SBI,ESP,33.482528,-119.041599,6/3/1995 23:55,ND,ASSP,111-112742,N,N,N,0,ND,ND,ND,ND,ND,ND,132,ND,ND,ND,N,NA
19950622_SBI_ESP_04,19950622_SBI_ESP,6,22,1995,SBI,SBI,ESP,33.482528,-119.041599,6/22/1995 23:02,ND,ASSP,111-112753,N,N,N,1,ND,ND,ND,ND,ND,ND,132,ND,ND,ND,N,NA
19950622_SBI_ESP_14,19950622_SBI_ESP,6,22,1995,SBI,SBI,ESP,33.482528,-119.041599,6/23/1995 0:01,ND,ASSP,111-112763,N,N,N,0,ND,ND,ND,ND,ND,ND,132,ND,ND,ND,N,NA
19950622_SBI_ESP_15,19950622_SBI_ESP,6,22,1995,SBI,SBI,ESP,33.482528,-119.041599,6/23/1995 0:03,ND,ASSP,111-112765,N,N,N,2,ND,ND,ND,ND,ND,ND,132,ND,ND,ND,N,NA
19950624_SBI_ESP_01,19950624_SBI_ESP,6,24,1995,SBI,SBI,ESP,33.482528,-119.041599,6/24/1995 22:58,ND,ASSP,111-112772,N,N,N,3,ND,ND,ND,ND,ND,ND,132,ND,ND,ND,N,NA
19950624_SBI_ESP_02,19950624_SBI_ESP,6,24,1995,SBI,SBI,ESP,33.482528,-119.041599,6/24/1995 22:58,ND,ASSP,111-112774,N,N,N,0,ND,ND,ND,ND,ND,ND,132,ND,ND,ND,N,NA
19950803_SBI_WP_15,19950803_SBI_WP,8,3,1995,SBI,SBI,WP,33.481075,-119.046301,8/4/1995 1:54,ND,ASSP,111-112818,N,N,N,4,ND,ND,ND,ND,ND,ND,132,ND,ND,ND,N,NA
19950804_SBI_ESP_07,19950804_SBI_ESP,8,4,1995,SBI,SBI,ESP,33.482528,-119.041599,8/5/1995 1:00,ND,ASSP,111-112827,N,N,N,0,ND,ND,ND,ND,ND,ND,132,ND,ND,ND,N,NA
