"session_ID","island_code","site_code","lat","long","session_year","session_date","start","end","flagged","DateTime_h","Longitude360","Latitude","tot_precip","wind_u","wind_v","wave_height","wave_dir","wave_period","tot_cloud","low_cloud","pressure","surface_pressure","sst","temp_c","dew_point","Moonup","MoonAltitude","Illu"
"2004-06-24_SCI_SR","SCI","SR",34.047666,-119.547674,2004,2004-06-24,2004-06-24 21:30:00,2004-06-25 01:56:00,"N",2004-06-24 22:00:00,240.452326,34.047666,0,5.82048023305313,-0.147812123421105,1.12455128905243,277.648590690644,6.14824630379078,0.00921673050218974,0.00921673050218974,101402.823875948,101500.828107595,290.60734913041,290.557472460797,287.065366544664,1,34.5525614910993,0.437084597096893
"2004-06-24_SCI_SR","SCI","SR",34.047666,-119.547674,2004,2004-06-24,2004-06-24 21:30:00,2004-06-25 01:56:00,"N",2004-06-24 23:00:00,240.452326,34.047666,0,4.23575931861254,0.128465027141398,1.11133263285946,277.684287107959,6.31598816887462,0.00875894587459752,0.00875894587459752,101426.311617811,101524.421770329,290.60734913041,290.640873272161,287.002142642918,1,22.7963739127392,0.441431009897708
"2004-06-24_SCI_SR","SCI","SR",34.047666,-119.547674,2004,2004-06-24,2004-06-24 21:30:00,2004-06-25 01:56:00,"N",2004-06-25 00:00:00,240.452326,34.047666,0,2.16576053454708,0.613156139944298,1.10204679999662,277.596668629095,6.45475771516907,0.0131536782994827,0.0131536782994827,101449.190277227,101546.220263074,290.60734913041,290.589214560645,286.991078460113,1,10.6832669133326,0.445787719460181
"2004-06-24_SCI_SR","SCI","SR",34.047666,-119.547674,2004,2004-06-24,2004-06-24 21:30:00,2004-06-25 01:56:00,"N",2004-06-25 01:00:00,240.452326,34.047666,0,0.145693878545909,1.34968079045435,1.09255461529239,277.313260709809,6.59672769202748,0.00439473242488519,0.00439473242488519,101441.005731845,101538.526677399,290.60734913041,290.386314079268,287.292182292178,0,-1.504079568923,0.450154444970104
"2004-06-24_SCI_SR","SCI","SR",34.047666,-119.547674,2004,2004-06-24,2004-06-24 21:30:00,2004-06-25 01:56:00,"N",2004-06-25 02:00:00,240.452326,34.047666,0,-1.2911031065042,1.95594671456415,1.084786075381,277.022280823212,6.74038210602479,0.00439473242488519,0.00439473242488519,101445.611917851,101544.168640227,290.60734913041,290.215778091852,287.967097443318,0,-13.5316739434841,0.454530902010579
"2004-07-17_SBI_AP","SBI","AP",33.487622,-119.028535,2004,2004-07-17,2004-07-17 21:31:00,2004-07-18 02:36:00,"N",2004-07-17 21:00:00,240.971465,33.487622,0,5.39605714450662,-1.59416642619127,1.0450188386523,213.864862067137,8.26889651378286,0,0,101284.890287145,101483.902219111,293.173507898047,292.577763756965,289.451278536807,0,-2.04290170335623,0.004686355689279
"2004-07-17_SBI_AP","SBI","AP",33.487622,-119.028535,2004,2004-07-17,2004-07-17 21:31:00,2004-07-18 02:36:00,"N",2004-07-17 22:00:00,240.971465,33.487622,0,4.78969386432582,-1.88009237130194,1.0595241592681,216.216679056384,8.16261320930924,0.0226450795782278,0,101359.617089863,101559.042905864,293.173507898047,292.790000150062,289.377780751027,0,-11.983530310992,0.00525760733832592
"2004-07-17_SBI_AP","SBI","AP",33.487622,-119.028535,2004,2004-07-17,2004-07-17 21:31:00,2004-07-18 02:36:00,"N",2004-07-17 23:00:00,240.971465,33.487622,0,4.21672269478803,-1.98172634054263,1.07416097860636,218.702808322901,8.07701104970788,0.0328994552362932,0,101382.305411014,101581.35430432,293.173507898047,292.902031090699,289.26239713034,0,-20.6306358426306,0.00586175735310579
"2004-07-17_SBI_AP","SBI","AP",33.487622,-119.028535,2004,2004-07-17,2004-07-17 21:31:00,2004-07-18 02:36:00,"N",2004-07-18 00:00:00,240.971465,33.487622,0,4.06786253799635,-1.98011820811794,1.08575309675539,220.864424704739,8.03005736446056,0,0,101387.140002937,101586.22690858,293.173507898047,292.976718384458,289.204705319997,0,-27.4233814548718,0.00649880491606514
"2004-07-17_SBI_AP","SBI","AP",33.487622,-119.028535,2004,2004-07-17,2004-07-17 21:31:00,2004-07-18 02:36:00,"N",2004-07-18 01:00:00,240.971465,33.487622,0,4.0766006604076,-2.10008488700014,1.09419936085176,222.647442721117,8.00996109359487,0,0,101345.950802458,101544.937998795,293.173507898047,292.941864314037,289.250542648763,0,-31.6937271619803,0.0071687473121344
