"catch_ID","session_ID","session_date","session_year","session_month","session_day","island_code","subisland_code","site_code","lat","long","capture_date","capture_year","capture_month","capture_day","capture_hour","capture_min","release_date","species","band_no","recapture","replaced","diet","BP","uncorr_mass","mass_tare","mass_corr","culmen","skull_length","tarsus","wing","tail","tail_fork","sex","how_sexed","age","how_aged","bander_id","measurers","flagged","notes"
"2004-07-18_SBI_AP_14","2004-07-18_SBI_AP",2004-07-18,2004,7,18,"SBI","SBI","AP",33.487622,-119.028535,2004-07-19 00:36:00,2004,7,19,0,36,2004-07-19 00:54:00,"ASSP","1001-21283","N","N","N","3",58,24,34,14.04,38.05,"23.31",142,NA,NA,"N",NA,NA,NA,NA,"PM","N",NA
"2004-07-18_SBI_AP_15","2004-07-18_SBI_AP",2004-07-18,2004,7,18,"SBI","SBI","AP",33.487622,-119.028535,2004-07-19 00:38:00,2004,7,19,0,38,2004-07-19 01:02:00,"ASSP","1001-21284","N","N","N","1",66,32,34,13.22,38.17,"23.88",141,NA,NA,"N",NA,NA,NA,NA,"PM","N",NA
"2004-07-18_SBI_AP_16","2004-07-18_SBI_AP",2004-07-18,2004,7,18,"SBI","SBI","AP",33.487622,-119.028535,2004-07-19 00:46:00,2004,7,19,0,46,2004-07-19 01:13:00,"ASSP","1001-21285","N","N","N","2",64,26,38,13.67,38.67,"23.92",146,NA,NA,"N",NA,NA,NA,NA,"PM","N",NA
"2004-07-18_SBI_AP_17","2004-07-18_SBI_AP",2004-07-18,2004,7,18,"SBI","SBI","AP",33.487622,-119.028535,2004-07-19 00:58:00,2004,7,19,0,58,2004-07-19 01:15:00,"ASSP","1001-21286","N","N","N","3",56,24,32,NA,NA,NA,143,NA,NA,"N",NA,NA,NA,NA,"PM","N","injured rt wing in net; released"
"2004-07-18_SBI_AP_18","2004-07-18_SBI_AP",2004-07-18,2004,7,18,"SBI","SBI","AP",33.487622,-119.028535,2004-07-19 01:38:00,2004,7,19,1,38,2004-07-19 01:49:00,"ASSP","1001-21287","N","N","N","1",58,23,35,14.13,37.57,"25.06",139,NA,NA,"N",NA,NA,NA,NA,"PM","N","5-50 defeathered"
"2004-07-18_SBI_AP_19","2004-07-18_SBI_AP",2004-07-18,2004,7,18,"SBI","SBI","AP",33.487622,-119.028535,2004-07-19 01:38:00,2004,7,19,1,38,2004-07-19 02:00:00,"ASSP","1001-21288","N","N","N","4",NA,NA,NA,14.3,38.28,"23.83",140,NA,NA,"N",NA,NA,NA,NA,"PM","N","5-50 refeathered; much wear on primaries/retricies-esprets"
"2004-07-18_SBI_AP_20","2004-07-18_SBI_AP",2004-07-18,2004,7,18,"SBI","SBI","AP",33.487622,-119.028535,2004-07-19 01:48:00,2004,7,19,1,48,2004-07-19 02:01:00,"ASSP","1001-21289","N","N","N","4",NA,NA,NA,13.16,37.87,"22.8",140,NA,NA,"N",NA,NA,NA,NA,"PM","N","5-50 refeath "
"2004-07-18_SBI_AP_21","2004-07-18_SBI_AP",2004-07-18,2004,7,18,"SBI","SBI","AP",33.487622,-119.028535,2004-07-19 01:49:00,2004,7,19,1,49,2004-07-19 02:21:00,"ASSP","1001-21290","N","N","N","2",NA,NA,NA,13.69,37.89,"22.76",142,NA,NA,"N",NA,NA,NA,NA,"PM","N","bare not vascularized"
"2004-07-18_SBI_AP_22","2004-07-18_SBI_AP",2004-07-18,2004,7,18,"SBI","SBI","AP",33.487622,-119.028535,2004-07-19 01:49:00,2004,7,19,1,49,2004-07-19 02:20:00,"ASSP","1001-21291","N","N","N","2",NA,NA,NA,NA,NA,NA,138,NA,NA,"N",NA,NA,NA,NA,"PM","N","broke skin while banding; bare not vascular"
"2004-07-18_SBI_AP_23","2004-07-18_SBI_AP",2004-07-18,2004,7,18,"SBI","SBI","AP",33.487622,-119.028535,2004-07-19 02:00:00,2004,7,19,2,0,2004-07-19 02:36:00,"ASSP","1001-21292","N","N","N","1",68,30,38,13.4,37.48,"23.35",138,NA,NA,"N",NA,NA,NA,NA,"PM","N","5-50 defeathered"
