"session_ID","island_code","site_code","lat","long","start","end","tot_precip","wind_u","wind_v","wave_height","wave_dir","wave_period","tot_cloud","low_cloud","pressure","surface_pressure","sst","temp_c","dew_point","Moonup","MoonAltitude","Illu"
"2004-08-16_SBI_AP","SBI","AP",33.487622,-119.028535,2004-08-16 21:30:00,2004-08-17 01:30:00,0,1.15505104231229,0.744647767870146,0.935574812183618,253.787759229944,8.83793603141348,0.733485419559611,0.00520857176282686,1014.45624607068,1016.45211065417,20.2906597484908,292.615626065606,17.0108100672592,0.0153001580712834,-29.0061532245989,0.0153001580712834
"2004-08-16_SBI_ESP","SBI","ESP",33.482528,-119.041599,2004-08-16 21:00:00,2004-08-17 02:37:00,0,1.07599183954382,0.871651940553752,0.93743554319042,253.562188435104,8.86326887421799,0.761744900606238,0.124541397899859,1014.45524906072,1016.45284337662,20.2906597484908,292.562915211658,17.0022296805936,0.0158474065933812,-31.0569223532799,0.0158474065933812
"2004-08-18_SCI_SR","SCI","SR",34.047666,-119.547674,2004-08-18 20:51:00,2004-08-19 02:31:00,9.52611977964642e-07,0.487884993686536,2.31701264721866,0.788715184472869,244.81099667622,9.25668554448427,0.0905288175423069,0.0905288175423069,1013.18775256717,1014.18634967307,19.313629474661,290.370754226401,15.3497996235742,0.106352590293509,-22.4846795361609,0.106352590293509
"2004-08-19_SCI_SR","SCI","SR",34.047666,-119.547674,2004-08-19 20:45:00,2004-08-20 02:31:00,5.95382486227901e-08,2.33595887419124,1.08506259997088,0.711428833405189,245.93516339423,8.52477655216053,0.513485572154487,0.0150801886072666,1014.0137254668,1015.00924277416,19.4375034174894,290.522618390377,14.2855635399643,0.180557981006343,-18.8819168992033,0.180557981006343
"2005-05-28_SMI_PI","SMI","PI",34.056323,-120.332024,2005-05-28 22:35:00,2005-05-29 02:00:00,0,8.00481389929799,-7.8234849432315,1.7184962718149,303.205494310224,5.87817455890106,0.143732165473883,0.00450460073550731,1012.98472575077,1012.40855397853,13.1379587539925,286.550977486414,10.752318074869,0.638764772016067,-14.0815546124361,0.638764772016067
"2005-05-29_SMI_PI","SMI","PI",34.056323,-120.332024,2005-05-29 21:57:00,2005-05-30 02:30:00,0,8.5716438451207,-7.58009039942883,1.86294900910959,300.999159598187,5.83769281660662,0.124594806106411,0.117191774700206,1013.8792316412,1013.3056126548,13.254000454238,286.622637431952,11.9066374181233,0.525597962172779,-20.9497230676267,0.525597962172779
"2005-05-31_SCI_SR","SCI","SR",34.047666,-119.547674,2005-05-31 21:30:00,2005-06-01 02:00:00,7.90088748971142e-07,1.60091620736453,1.86890471213287,1.03987264266056,279.293143834738,7.67023225734901,0.496200387590985,0.496200387590985,1011.57577307743,1012.58214375773,16.172515211752,288.205677343023,13.4791044849999,0.309283126079675,-34.5134724940372,0.309283126079675
"2005-06-01_SCI_SR","SCI","SR",34.047666,-119.547674,2005-06-01 21:30:00,2005-06-02 02:00:00,1.28483479892217e-05,-0.193336372607748,1.88538125080607,1.08627300416615,280.834852434462,8.99704757026473,0.825149161491157,0.825149161491157,1009.15498661934,1010.16036680947,16.1902727015477,287.94635336147,13.385996254305,0.214176850698517,-35.5771551349712,0.214176850698517
"2005-06-02_SCI_SR","SCI","SR",34.047666,-119.547674,2005-06-02 21:30:00,2005-06-03 02:00:00,1.26037967097778e-06,4.90353100221215,-0.401098718606759,1.189796015368,286.621974224654,7.91072311185261,0.267971861504891,0.267971861504891,1009.49008694093,1010.49623975389,16.1293938743271,287.761528386402,12.3307696397627,0.133861688848422,-34.846865462528,0.133861688848422
"2005-07-01_SMI_PI","SMI","PI",34.056323,-120.332024,2005-07-01 22:23:00,2005-07-02 00:28:00,6.41947108539077e-06,5.00311324066436,-3.79424764819947,1.13951530964825,295.354156512564,7.17128551071895,0.999889368714999,0.999889368714999,1012.86470833874,1012.29033335304,14.0143454062803,286.446863280818,12.7817310547874,0.164325605440717,-27.1722742997437,0.164325605440717
